year,month,weekday,hour,day_type,weather,temp,humidity,windspeed,casual,registered,casual_mov_ave,registered_mov_ave
2011,1,3,14,1,3,14.76,76,12.998,4.0,55.0,,
2011,1,3,15,1,3,13.94,81,11.0014,19.0,55.0,,
2011,1,3,16,1,3,13.94,71,11.0014,9.0,67.0,,
2011,1,3,17,1,1,13.94,57,12.998,7.0,58.0,,
2011,1,3,18,1,2,14.76,46,22.0028,10.0,43.0,,
2011,1,3,19,1,1,13.12,42,30.0026,1.0,29.0,,
2011,1,3,20,1,1,12.3,39,23.9994,5.0,17.0,,
2011,1,3,21,1,1,10.66,44,22.0028,11.0,20.0,,
2011,1,3,22,1,1,9.84,44,19.9995,0.0,9.0,,
2011,1,3,23,1,1,9.02,47,11.0014,0.0,8.0,,
2011,1,1,0,2,1,9.02,44,23.9994,0.0,5.0,,
2011,1,1,1,2,1,8.2,44,27.9993,0.0,2.0,,
2011,1,1,4,2,1,6.56,47,26.0027,0.0,1.0,,
2011,1,1,5,2,1,6.56,47,19.0012,0.0,3.0,,
2011,1,1,6,2,1,5.74,50,26.0027,0.0,30.0,,
2011,1,1,7,2,1,5.74,50,12.998,1.0,63.0,,
2011,1,1,8,2,1,5.74,50,19.0012,1.0,153.0,,
2011,1,1,9,2,1,6.56,43,26.0027,7.0,81.0,,
2011,1,1,10,2,1,7.38,43,16.9979,11.0,33.0,,
2011,1,1,11,2,1,8.2,40,22.0028,10.0,41.0,,
2011,1,1,12,2,1,9.02,35,19.9995,13.0,48.0,,
2011,1,1,13,2,1,9.84,35,19.0012,8.0,53.0,,
2011,1,1,14,2,1,10.66,30,19.0012,11.0,66.0,,
2011,1,1,15,2,1,10.66,30,16.9979,14.0,58.0,,
2011,1,1,16,2,1,10.66,30,16.9979,9.0,67.0,,
2011,1,1,17,2,1,9.84,30,15.0013,11.0,146.0,,
2011,1,1,18,2,1,9.84,32,7.0015,9.0,148.0,,
2011,1,1,19,2,1,8.2,47,0.0,8.0,102.0,,
2011,1,1,20,2,1,8.2,47,7.0015,3.0,49.0,,
2011,1,1,21,2,1,7.38,64,8.9981,3.0,49.0,,
2011,1,1,22,2,1,5.74,69,8.9981,0.0,20.0,,
2011,1,1,23,2,1,7.38,55,7.0015,1.0,11.0,,
2011,1,5,0,2,1,6.56,55,7.0015,0.0,5.0,,
2011,1,5,1,2,1,6.56,59,7.0015,0.0,2.0,,
2011,1,5,2,2,1,5.74,63,8.9981,0.0,1.0,,
2011,1,5,4,2,1,5.74,63,6.0032,0.0,2.0,,
2011,1,5,5,2,1,4.92,68,7.0015,0.0,4.0,,
2011,1,5,6,2,1,4.92,74,7.0015,0.0,36.0,,
2011,1,5,7,2,1,4.92,74,8.9981,2.0,92.0,,
2011,1,5,8,2,1,5.74,69,11.0014,2.0,177.0,,
2011,1,5,9,2,1,6.56,64,15.0013,2.0,98.0,,
2011,1,5,10,2,2,6.56,69,22.0028,5.0,37.0,,
2011,1,5,11,2,1,9.02,51,19.9995,7.0,50.0,,
2011,1,5,12,2,1,9.02,51,11.0014,12.0,66.0,,
2011,1,5,13,2,1,9.84,56,12.998,18.0,79.0,,
2011,1,5,14,2,1,10.66,52,15.0013,9.0,54.0,,
2011,1,5,15,2,1,11.48,52,16.9979,17.0,48.0,,
2011,1,5,16,2,1,12.3,49,16.9979,15.0,68.0,,
2011,1,5,17,2,1,11.48,48,15.0013,10.0,202.0,,
2011,1,5,18,2,1,10.66,48,12.998,3.0,179.0,,
2011,1,5,19,2,1,9.84,48,7.0015,2.0,110.0,,
2011,1,5,20,2,1,9.84,48,7.0015,1.0,53.0,,
2011,1,5,21,2,1,9.02,64,0.0,0.0,48.0,,
2011,1,5,22,2,1,9.02,64,6.0032,1.0,34.0,,
2011,1,5,23,2,1,8.2,69,6.0032,2.0,9.0,,
2011,1,6,0,2,1,8.2,64,0.0,0.0,6.0,,
2011,1,6,1,2,1,6.56,74,6.0032,0.0,6.0,,
2011,1,6,2,2,1,6.56,74,6.0032,0.0,2.0,,
2011,1,6,4,2,1,9.84,48,15.0013,0.0,2.0,,
2011,1,6,5,2,1,9.02,47,11.0014,0.0,3.0,,
2011,1,6,6,2,1,8.2,47,15.0013,0.0,33.0,,
2011,1,6,7,2,1,7.38,43,12.998,1.0,87.0,,
2011,1,6,8,2,1,8.2,40,19.9995,3.0,192.0,,
2011,1,6,9,2,1,9.02,37,22.0028,6.0,109.0,,
2011,1,6,10,2,1,9.02,37,22.0028,4.0,53.0,,
2011,1,6,11,2,1,10.66,33,22.0028,12.0,34.0,,
2011,1,6,12,2,1,10.66,33,22.0028,5.0,74.0,,
2011,1,6,13,2,1,11.48,30,19.9995,6.0,65.0,,
2011,1,6,14,2,1,12.3,28,12.998,10.0,52.0,,
2011,1,6,15,2,1,12.3,28,12.998,7.0,55.0,,
2011,1,6,16,2,1,12.3,28,6.0032,4.0,85.0,,
2011,1,6,17,2,1,9.84,38,12.998,4.0,186.0,,
2011,1,6,18,2,1,9.84,38,8.9981,3.0,166.0,,
2011,1,6,19,2,1,9.84,38,7.0015,5.0,127.0,,
2011,1,6,20,2,1,9.02,47,11.0014,7.0,82.0,,
2011,1,6,21,2,1,8.2,51,12.998,3.0,40.0,,
2011,1,6,22,2,1,7.38,55,8.9981,1.0,41.0,,
2011,1,6,23,2,1,8.2,47,0.0,1.0,18.0,,
2011,1,4,0,2,1,7.38,55,0.0,0.0,11.0,,
2011,1,4,1,2,1,6.56,64,0.0,0.0,4.0,,
2011,1,4,2,2,1,6.56,64,0.0,0.0,2.0,,
2011,1,4,4,2,2,6.56,64,6.0032,0.0,1.0,,
2011,1,4,5,2,2,5.74,69,6.0032,0.0,4.0,,
2011,1,4,6,2,2,5.74,63,7.0015,0.0,36.0,,
2011,1,4,7,2,2,6.56,59,0.0,0.0,95.0,,
2011,1,4,8,2,1,6.56,59,0.0,3.0,216.0,,
2011,1,4,9,2,2,7.38,51,0.0,6.0,116.0,,
2011,1,4,10,2,1,8.2,47,0.0,3.0,42.0,,
2011,1,4,11,2,1,9.02,44,6.0032,2.0,57.0,,
2011,1,4,12,2,1,10.66,35,0.0,6.0,78.0,,
2011,1,4,13,2,1,10.66,35,7.0015,12.0,55.0,,
2011,1,4,14,2,1,11.48,36,11.0014,11.0,59.0,,
2011,1,4,15,2,1,11.48,36,0.0,8.0,54.0,,
2011,1,4,16,2,1,10.66,38,11.0014,12.0,74.0,,
2011,1,4,17,2,1,9.02,51,11.0014,9.0,163.0,,
2011,1,4,18,2,1,9.02,51,8.9981,5.0,158.0,,
2011,1,4,19,2,1,9.02,55,6.0032,3.0,109.0,,
2011,1,4,20,2,1,8.2,51,11.0014,3.0,66.0,,
2011,1,4,21,2,2,9.02,55,15.0013,0.0,48.0,,
2011,1,4,22,2,2,9.02,51,19.0012,1.0,51.0,,
2011,1,4,23,2,2,8.2,59,12.998,4.0,19.0,,
2011,1,0,0,2,2,8.2,64,12.998,4.0,13.0,,
2011,1,0,1,2,2,8.2,69,15.0013,2.0,5.0,,
2011,1,0,2,2,2,8.2,69,15.0013,0.0,1.0,,
2011,1,0,4,2,2,8.2,69,8.9981,0.0,1.0,,
2011,1,0,5,2,3,9.02,55,0.0,0.0,5.0,,
2011,1,0,6,2,2,8.2,69,0.0,8.0,26.0,,
2011,1,0,7,2,1,8.2,69,8.9981,8.0,76.0,,
2011,1,0,8,2,1,8.2,51,16.9979,20.0,190.0,,
2011,1,0,9,2,1,8.2,47,19.9995,9.0,125.0,,
2011,1,0,10,2,1,9.02,37,22.0028,16.0,47.0,,
2011,1,0,11,2,2,8.2,40,15.0013,19.0,48.0,,
2011,1,0,12,2,2,8.2,37,16.9979,9.0,50.0,,
2011,1,0,13,2,2,8.2,37,19.0012,9.0,64.0,,
2011,1,0,14,2,2,8.2,40,16.9979,7.0,43.0,,
2011,1,0,15,2,2,8.2,37,11.0014,9.0,63.0,,
2011,1,0,16,2,2,8.2,37,11.0014,5.0,82.0,,
2011,1,0,17,2,2,8.2,37,0.0,9.0,178.0,,
2011,1,0,18,2,1,8.2,40,6.0032,7.0,116.0,,
2011,1,0,19,2,1,6.56,55,6.0032,3.0,92.0,,
2011,1,0,20,2,1,7.38,47,7.0015,1.0,50.0,,
2011,1,0,21,2,1,7.38,47,8.9981,0.0,39.0,,
2011,1,0,22,2,2,7.38,43,11.0014,2.0,34.0,,
2011,1,0,23,2,2,7.38,51,11.0014,1.0,14.0,,
2011,1,2,0,1,2,7.38,51,11.0014,1.0,24.0,,
2011,1,2,1,1,2,7.38,55,6.0032,1.0,15.0,,
2011,1,2,2,1,2,7.38,55,0.0,3.0,13.0,,
2011,1,2,3,1,3,7.38,55,11.0014,0.0,7.0,,
2011,1,2,4,1,3,7.38,55,11.0014,0.0,1.0,,
2011,1,2,5,1,2,6.56,74,11.0014,0.0,5.0,,
2011,1,2,6,1,2,6.56,74,11.0014,0.0,2.0,,
2011,1,2,7,1,2,6.56,74,7.0015,1.0,8.0,,
2011,1,2,8,1,3,6.56,93,7.0015,0.0,15.0,,
2011,1,2,9,1,3,6.56,93,7.0015,0.0,20.0,,
2011,1,2,10,1,2,7.38,80,11.0014,5.0,56.0,,
2011,1,2,11,1,2,8.2,69,26.0027,2.0,60.0,,
2011,1,2,12,1,2,8.2,59,23.9994,8.0,90.0,,
2011,1,2,13,1,1,8.2,44,22.0028,7.0,95.0,,
2011,1,2,14,1,1,8.2,32,32.9975,12.0,83.0,,
2011,1,2,15,1,1,8.2,32,30.0026,5.0,69.0,,
2011,1,2,16,1,1,7.38,29,30.0026,8.0,68.0,,
2011,1,2,17,1,1,6.56,37,36.9974,5.0,64.0,,
2011,1,2,18,1,1,5.74,39,19.9995,3.0,52.0,,
2011,1,2,19,1,1,5.74,36,16.9979,4.0,26.0,,
2011,1,2,20,1,1,4.92,36,16.9979,0.0,28.0,,
2011,1,2,21,1,1,4.92,39,23.9994,2.0,35.0,,
2011,1,2,22,1,1,4.92,36,26.0027,1.0,33.0,,
2011,1,2,23,1,1,4.1,39,30.0026,0.0,22.0,,
2011,1,3,0,1,1,4.1,42,26.0027,1.0,24.0,,
2011,1,3,1,1,1,4.1,42,31.0009,0.0,12.0,,
2011,1,3,2,1,1,4.1,46,31.0009,0.0,11.0,,
2011,1,3,3,1,1,4.1,46,27.9993,0.0,4.0,,
2011,1,3,4,1,1,3.28,53,12.998,0.0,1.0,,
2011,1,3,5,1,1,3.28,53,12.998,0.0,1.0,,
2011,1,3,6,1,1,4.1,49,19.0012,0.0,1.0,,
2011,1,3,7,1,1,3.28,53,12.998,1.0,5.0,,
2011,1,3,8,1,1,4.1,49,19.0012,0.0,10.0,,
2011,1,3,9,1,1,4.92,46,35.0008,0.0,19.0,,
2011,1,3,10,1,1,5.74,43,26.0027,0.0,49.0,,
2011,1,3,11,1,1,6.56,40,35.0008,2.0,47.0,,
2011,1,3,12,1,1,7.38,37,30.0026,4.0,79.0,,
2011,1,3,13,1,1,8.2,34,30.0026,6.0,69.0,,
2011,1,3,14,1,1,9.02,32,31.0009,8.0,64.0,,
2011,1,3,15,1,1,9.02,35,23.9994,5.0,77.0,,
2011,1,3,16,1,1,8.2,34,30.0026,13.0,79.0,,
2011,1,3,17,1,1,7.38,37,26.0027,3.0,59.0,,
2011,1,3,18,1,1,6.56,40,22.0028,4.0,44.0,,
2011,1,3,19,1,1,6.56,43,22.0028,1.0,40.0,,
2011,1,3,20,1,1,5.74,46,16.9979,0.0,38.0,,
2011,1,3,21,1,1,5.74,46,27.9993,1.0,19.0,,
2011,1,3,22,1,1,5.74,46,19.9995,5.0,10.0,,
2011,1,3,23,1,1,4.92,50,12.998,0.0,6.0,,
2011,1,1,0,2,1,4.92,50,19.0012,2.0,3.0,,
2011,1,1,1,2,1,4.92,50,19.0012,1.0,0.0,,
2011,1,1,2,2,1,4.92,50,15.0013,0.0,3.0,,
2011,1,1,3,2,1,4.92,50,15.0013,0.0,1.0,,
2011,1,1,4,2,1,4.1,54,8.9981,1.0,2.0,,
2011,1,1,5,2,1,4.1,54,16.9979,0.0,3.0,,
2011,1,1,6,2,1,4.92,50,19.0012,0.0,31.0,,
2011,1,1,7,2,1,4.92,50,15.0013,2.0,75.0,,
2011,1,1,8,2,2,4.92,50,19.0012,4.0,184.0,,
2011,1,1,9,2,2,5.74,50,16.9979,2.0,92.0,,
2011,1,1,10,2,2,5.74,50,19.9995,0.0,31.0,,
2011,1,1,11,2,2,6.56,47,19.0012,2.0,28.0,,
2011,1,1,12,2,2,8.2,40,19.0012,5.0,47.0,,
2011,1,1,13,2,2,8.2,40,19.0012,4.0,50.0,,
2011,1,1,14,2,2,8.2,40,15.0013,0.0,47.0,,
2011,1,1,15,2,2,8.2,40,15.0013,2.0,43.0,,
2011,1,1,16,2,1,8.2,40,8.9981,4.0,70.0,,
2011,1,1,17,2,1,8.2,40,7.0015,4.0,174.0,,
2011,1,1,18,2,1,8.2,40,15.0013,1.0,154.0,,
2011,1,1,19,2,1,6.56,47,11.0014,3.0,92.0,,
2011,1,1,20,2,1,6.56,50,11.0014,1.0,73.0,,
2011,1,1,21,2,1,5.74,59,12.998,1.0,37.0,,
2011,1,1,22,2,1,5.74,59,11.0014,2.0,22.0,,
2011,1,1,23,2,1,5.74,59,11.0014,0.0,18.0,,
2011,1,5,0,2,1,5.74,59,7.0015,2.0,10.0,,
2011,1,5,1,2,1,5.74,59,11.0014,0.0,3.0,,
2011,1,5,2,2,2,6.56,55,12.998,0.0,3.0,,
2011,1,5,5,2,2,6.56,55,8.9981,0.0,6.0,,
2011,1,5,6,2,2,6.56,55,8.9981,0.0,27.0,,
2011,1,5,7,2,2,6.56,55,0.0,2.0,97.0,,
2011,1,5,8,2,2,7.38,51,6.0032,3.0,214.0,,
2011,1,5,9,2,2,7.38,51,11.0014,3.0,127.0,,
2011,1,5,10,2,2,8.2,51,11.0014,3.0,51.0,,
2011,1,5,11,2,2,8.2,47,8.9981,4.0,31.0,,
2011,1,5,12,2,2,8.2,51,7.0015,2.0,55.0,,
2011,1,5,13,2,2,8.2,59,6.0032,6.0,46.0,,
2011,1,5,14,2,2,8.2,59,6.0032,3.0,60.0,,
2011,1,5,15,2,2,6.56,80,6.0032,2.0,45.0,,
2011,1,5,16,2,2,6.56,86,15.0013,4.0,72.0,,
2011,1,5,17,2,2,6.56,86,15.0013,6.0,130.0,,
2011,1,5,18,2,3,6.56,93,7.0015,1.0,94.0,,
2011,1,5,19,2,3,6.56,93,0.0,0.0,51.0,,
2011,1,5,20,2,3,6.56,93,12.998,0.0,32.0,,
2011,1,5,21,2,3,6.56,86,6.0032,0.0,20.0,,
2011,1,5,22,2,3,6.56,93,7.0015,1.0,28.0,,
2011,1,5,23,2,3,6.56,93,6.0032,1.0,18.0,,
2011,1,6,0,2,2,6.56,86,6.0032,0.0,7.0,,
2011,1,6,1,2,2,6.56,86,7.0015,0.0,6.0,,
2011,1,6,2,2,1,5.74,86,8.9981,0.0,1.0,,
2011,1,6,5,2,1,5.74,86,11.0014,0.0,5.0,,
2011,1,6,6,2,1,4.92,93,8.9981,0.0,16.0,,
2011,1,6,7,2,1,5.74,69,8.9981,0.0,54.0,,
2011,1,6,8,2,1,6.56,59,11.0014,3.0,125.0,,
2011,1,6,9,2,1,6.56,59,22.0028,3.0,78.0,,
2011,1,6,10,2,1,7.38,55,15.0013,0.0,39.0,,
2011,1,6,11,2,1,8.2,51,26.0027,3.0,32.0,,
2011,1,6,12,2,1,8.2,47,39.0007,3.0,52.0,,
2011,1,6,13,2,1,9.02,44,23.9994,0.0,49.0,,
2011,1,6,14,2,1,8.2,47,22.0028,0.0,44.0,,
2011,1,6,15,2,1,8.2,47,27.9993,1.0,48.0,,
2011,1,6,16,2,1,9.02,44,22.0028,5.0,63.0,,
2011,1,6,17,2,1,8.2,47,23.9994,0.0,139.0,,
2011,1,6,18,2,1,8.2,47,35.0008,2.0,135.0,,
2011,1,6,19,2,1,7.38,47,27.9993,1.0,82.0,,
2011,1,6,20,2,1,6.56,50,22.0028,2.0,54.0,,
2011,1,6,21,2,1,6.56,55,22.0028,0.0,57.0,,
2011,1,6,22,2,1,6.56,55,30.0026,1.0,32.0,,
2011,1,6,23,2,1,5.74,59,27.9993,1.0,19.0,,
2011,1,4,0,2,1,5.74,59,19.0012,1.0,6.0,,
2011,1,4,1,2,1,5.74,50,19.0012,0.0,2.0,,
2011,1,4,2,2,1,5.74,50,23.9994,0.0,2.0,,
2011,1,4,3,2,1,5.74,50,22.0028,0.0,3.0,,
2011,1,4,4,2,1,5.74,50,16.9979,0.0,4.0,,
2011,1,4,5,2,1,5.74,50,19.9995,0.0,3.0,,
2011,1,4,6,2,1,4.92,54,8.9981,0.0,28.0,,
2011,1,4,7,2,1,4.92,54,8.9981,0.0,72.0,,
2011,1,4,8,2,1,5.74,50,12.998,5.0,197.0,,
2011,1,4,9,2,1,5.74,50,22.0028,2.0,137.0,,
2011,1,4,10,2,2,6.56,50,23.9994,2.0,36.0,,
2011,1,4,11,2,2,8.2,44,30.0026,4.0,33.0,,
2011,1,4,12,2,1,8.2,44,27.9993,3.0,49.0,,
2011,1,4,13,2,1,9.02,41,30.0026,2.0,81.0,,
2011,1,4,14,2,1,9.02,41,26.0027,3.0,39.0,,
2011,1,4,15,2,1,9.84,38,19.9995,5.0,55.0,,
2011,1,4,16,2,1,9.84,38,23.9994,2.0,76.0,,
2011,1,4,17,2,1,8.2,40,19.0012,4.0,158.0,,
2011,1,4,18,2,1,8.2,40,22.0028,3.0,141.0,,
2011,1,4,19,2,1,6.56,47,16.9979,1.0,98.0,,
2011,1,4,20,2,1,6.56,47,15.0013,0.0,64.0,,
2011,1,4,21,2,1,5.74,46,19.9995,0.0,40.0,,
2011,1,4,22,2,1,5.74,46,22.0028,0.0,30.0,,
2011,1,4,23,2,1,4.92,50,12.998,1.0,14.0,,
2011,1,0,0,2,1,4.92,50,12.998,0.0,14.0,,
2011,1,0,1,2,1,4.1,54,11.0014,0.0,5.0,,
2011,1,0,2,2,1,4.1,54,8.9981,0.0,1.0,,
2011,1,0,3,2,1,4.1,54,7.0015,0.0,1.0,,
2011,1,0,5,2,1,4.1,54,6.0032,0.0,8.0,,
2011,1,0,6,2,1,4.1,54,0.0,0.0,17.0,,
2011,1,0,7,2,1,4.1,74,11.0014,0.0,70.0,,
2011,1,0,8,2,1,4.92,68,0.0,2.0,156.0,,
2011,1,0,9,2,1,5.74,69,8.9981,0.0,117.0,,
2011,1,0,10,2,1,7.38,55,12.998,4.0,40.0,,
2011,1,0,11,2,1,7.38,51,19.0012,6.0,47.0,,
2011,1,0,12,2,1,8.2,44,16.9979,2.0,59.0,,
2011,1,0,13,2,1,9.02,37,26.0027,4.0,73.0,,
2011,1,0,14,2,1,9.02,41,19.0012,5.0,59.0,,
2011,1,0,15,2,1,9.84,38,11.0014,9.0,59.0,,
2011,1,0,16,2,1,9.02,41,7.0015,3.0,87.0,,
2011,1,0,17,2,1,9.02,41,11.0014,4.0,155.0,,
2011,1,0,18,2,1,8.2,47,0.0,5.0,134.0,,
2011,1,0,19,2,1,6.56,59,6.0032,3.0,89.0,,
2011,1,0,20,2,1,7.38,59,0.0,0.0,68.0,,
2011,1,0,21,2,1,6.56,69,0.0,4.0,48.0,,
2011,1,0,22,2,2,6.56,69,0.0,2.0,34.0,,
2011,1,0,23,2,2,7.38,55,0.0,1.0,26.0,,
2011,1,2,0,1,1,7.38,55,0.0,3.0,25.0,,
2011,1,2,1,1,2,6.56,59,6.0032,2.0,18.0,,
2011,1,2,2,1,2,6.56,59,6.0032,0.0,12.0,,
2011,1,2,3,1,2,6.56,59,0.0,1.0,7.0,,
2011,1,2,4,1,2,6.56,59,0.0,0.0,5.0,,
2011,1,2,5,1,1,6.56,59,0.0,0.0,1.0,,
2011,1,2,6,1,1,5.74,63,7.0015,1.0,2.0,,
2011,1,2,7,1,1,5.74,63,0.0,1.0,9.0,,
2011,1,2,8,1,1,5.74,63,8.9981,1.0,22.0,,
2011,1,2,9,1,1,6.56,64,8.9981,2.0,31.0,,
2011,1,2,10,1,1,7.38,59,11.0014,2.0,57.0,,
2011,1,2,11,1,1,8.2,55,15.0013,18.0,54.0,,
2011,1,2,12,1,1,9.84,48,15.0013,15.0,74.0,,
2011,1,2,13,1,1,11.48,38,19.9995,21.0,80.0,,
2011,1,2,14,1,1,12.3,39,19.0012,26.0,92.0,,
2011,1,2,15,1,2,13.12,36,12.998,21.0,108.0,,
2011,1,2,16,1,2,13.94,34,12.998,33.0,95.0,,
2011,1,2,17,1,2,13.12,36,19.0012,29.0,54.0,,
2011,1,2,18,1,2,12.3,45,16.9979,15.0,69.0,,
2011,1,2,19,1,2,13.12,39,16.9979,14.0,60.0,,
2011,1,2,20,1,2,13.12,39,16.9979,6.0,35.0,,
2011,1,2,21,1,2,13.12,39,15.0013,6.0,51.0,,
2011,1,2,22,1,2,12.3,42,7.0015,0.0,26.0,,
2011,1,2,23,1,1,12.3,45,19.0012,5.0,39.0,,
2011,1,3,0,1,1,10.66,56,0.0,6.0,33.0,,
2011,1,3,1,1,1,10.66,56,8.9981,4.0,19.0,,
2011,1,3,2,1,1,10.66,56,6.0032,3.0,13.0,,
2011,1,3,3,1,1,9.02,69,0.0,9.0,6.0,,
2011,1,3,4,1,1,10.66,56,11.0014,0.0,1.0,,
2011,1,3,5,1,2,10.66,56,11.0014,1.0,1.0,,
2011,1,3,6,1,2,10.66,56,11.0014,0.0,1.0,,
2011,1,3,7,1,2,9.84,56,19.9995,0.0,3.0,,
2011,1,3,8,1,1,9.02,55,19.0012,0.0,18.0,,
2011,1,3,9,1,1,9.02,51,16.9979,3.0,29.0,,
2011,1,3,10,1,1,9.02,51,19.0012,8.0,71.0,,
2011,1,3,11,1,1,9.84,44,16.9979,23.0,70.0,,
2011,1,3,12,1,1,9.84,41,19.0012,29.0,75.0,,
2011,1,3,13,1,1,10.66,35,19.9995,23.0,95.0,,
2011,1,3,14,1,1,11.48,36,16.9979,22.0,69.0,,
2011,1,3,15,1,1,10.66,38,16.9979,35.0,78.0,,
2011,1,3,16,1,1,9.84,38,15.0013,22.0,77.0,,
2011,1,3,17,1,1,9.02,37,16.9979,23.0,82.0,,
2011,1,3,18,1,1,8.2,40,11.0014,11.0,56.0,,
2011,1,3,19,1,1,7.38,47,8.9981,14.0,47.0,,
2011,1,3,20,1,1,7.38,47,11.0014,7.0,50.0,,
2011,1,3,21,1,1,7.38,51,11.0014,6.0,22.0,,
2011,1,3,22,1,2,8.2,49,8.9981,2.0,19.0,,
2011,1,3,23,1,2,8.2,40,7.0015,0.0,18.0,,
2011,1,1,0,0,2,8.2,47,15.0013,1.0,16.0,,
2011,1,1,1,0,2,8.2,44,12.998,1.0,15.0,,
2011,1,1,2,0,2,7.38,43,16.9979,0.0,8.0,,
2011,1,1,3,0,2,7.38,43,12.998,0.0,2.0,,
2011,1,1,4,0,2,7.38,43,8.9981,1.0,2.0,,
2011,1,1,5,0,2,7.38,43,11.0014,0.0,1.0,,
2011,1,1,6,0,2,7.38,43,12.998,0.0,5.0,,
2011,1,1,7,0,2,6.56,50,8.9981,4.0,9.0,,
2011,1,1,8,0,2,6.56,47,15.0013,3.0,30.0,,
2011,1,1,9,0,2,6.56,47,15.0013,8.0,39.0,,
2011,1,1,10,0,2,6.56,50,16.9979,7.0,50.0,,
2011,1,1,11,0,2,6.56,55,12.998,9.0,55.0,,
2011,1,1,12,0,2,7.38,47,8.9981,10.0,70.0,,
2011,1,1,13,0,2,7.38,47,8.9981,13.0,80.0,,
2011,1,1,14,0,2,7.38,43,7.0015,12.0,74.0,,
2011,1,1,15,0,2,8.2,47,11.0014,21.0,72.0,,
2011,1,1,16,0,2,8.2,47,11.0014,6.0,76.0,,
2011,1,1,17,0,1,8.2,51,12.998,4.0,67.0,,
2011,1,1,18,0,2,7.38,55,16.9979,7.0,85.0,,
2011,1,1,19,0,3,7.38,59,12.998,2.0,58.0,,
2011,1,1,20,0,3,6.56,80,12.998,4.0,29.0,,
2011,1,1,21,0,3,6.56,80,12.998,3.0,24.0,,
2011,1,1,22,0,3,5.74,93,16.9979,0.0,13.0,,
2011,1,1,23,0,3,6.56,86,19.0012,1.0,3.0,,
2011,1,5,12,2,2,8.2,86,22.0028,0.0,3.0,,
2011,1,5,13,2,2,8.2,86,15.0013,0.0,22.0,,
2011,1,5,14,2,2,9.02,80,11.0014,2.0,26.0,,
2011,1,5,15,2,2,9.02,87,11.0014,3.0,32.0,,
2011,1,5,16,2,2,9.02,87,12.998,0.0,61.0,,
2011,1,5,17,2,2,9.02,82,12.998,1.0,124.0,,
2011,1,5,18,2,2,9.02,80,11.0014,1.0,132.0,,
2011,1,5,19,2,2,9.02,80,8.9981,1.0,98.0,,
2011,1,5,20,2,2,9.02,87,0.0,0.0,83.0,,
2011,1,5,21,2,2,9.02,93,7.0015,0.0,41.0,,
2011,1,5,22,2,2,9.02,93,6.0032,0.0,33.0,,
2011,1,5,23,2,2,9.02,93,0.0,1.0,19.0,,
2011,1,6,0,2,2,9.02,93,0.0,0.0,3.0,,
2011,1,6,1,2,3,9.02,93,8.9981,1.0,6.0,,
2011,1,6,2,2,3,9.02,93,8.9981,0.0,3.0,,
